case_id,original_shape_MeshVolume,original_shape_Sphericity,original_shape_SurfaceVolumeRatio,original_firstorder_10Percentile,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_TotalEnergy,original_glcm_JointEntropy,original_gldm_DependenceNonUniformity,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness
Case071,0.018780524445155072,-0.410951409447669,-0.18362138266386602,0.9910766077621265,1.9370998370225294,0.00978378768638517,0.07020994331329743,-0.22508652803915363,-0.40257293922036497,0.27527206102423946,-0.5730555457504416,0.24205234915481064,-0.749852257501703,-0.7018231219465834,0.32412562467153105
Case072,0.08850184217871088,-0.25402346702787576,-0.3220625545375633,-0.9025149143170887,1.2771418050500558,0.4130692128913026,-0.31714638224036223,-0.002062535035185652,-0.0633312910272689,-1.0642324372294483,0.0402220542527907,-0.4616478670538808,0.49152171015084156,-0.045279677579677005,-0.07631278001357643
Case073,-0.2123570869214894,-0.8410072714360063,0.2903713159748721,0.09550994892663472,-0.5349003686578443,0.04564134664702151,-0.07871829828884577,1.0960806397504796,0.38108235524478346,0.17165371525956102,-0.2284081956505215,0.10662476127883617,-0.49358382936777934,0.9086717763530413,-0.8423776085443891
Case074,-0.4653015333234954,-1.32763527167246,0.9508297931500332,-1.197986268839178,-1.5416696612124414,-0.40594153342817413,-0.36509897472581593,0.9764880660490235,0.008028270991458262,-0.8291913632402305,0.9637557620670355,-0.37911720712967917,1.9878316955723956,0.5587815093452281,-0.02852841682218287
Case075,-1.0199199052723495,0.07911641910805754,1.4200859174489313,-0.32771989737710766,-0.33244984842239517,-0.6476337791022225,-0.4365762578061091,-0.4948733175214647,-0.03096119490414257,0.4573956072299485,-0.1564161488653084,-0.26168649317276754,0.05912947014589543,0.23129555982373953,-0.4684735260523802
Case077,0.6292063329644827,-1.8679422646019594,0.07249334877224296,-0.7542562268550981,1.8681873407104055,2.368431034019718,-0.014350583542294817,1.6734135072549512,0.7677668346010887,-0.9144321157623763,-0.16305695775799015,-0.16750965472642923,0.45692881264503876,0.9600645623643042,-0.46381131565610134
Case078,0.10177415948795694,1.0304457178751247,-0.8519034511548311,-0.45468885126823033,0.3425069660163181,-0.6374572634948942,-0.33075348978709873,-1.3872974320475895,-0.6453791065591896,-0.5709560570043326,0.22094466282856076,-0.49088046843084676,0.6428390383790206,-1.0738657106308909,-0.10293427600083092
Case079,-0.30694295615473927,0.18671310966175578,-0.10720470004990841,0.15535729438052337,-1.0163123723912273,-0.13880799873580488,-0.12509658216751438,0.49901679930756293,-0.002764828383785686,0.03924823535175632,-0.4124805521047807,-0.08671699571811642,-0.3401019839429729,0.21517841079604336,-0.48128529092820005
Case080,2.0711477198444235,-0.004719585205575501,-1.4517032177182283,0.3897869514347056,0.002064661650372951,-0.02941045595702509,0.5327857958978318,0.5108777458781327,1.8700807591468902,0.6794282355689406,-0.4901751330662914,0.051749782803973396,-0.9405610891422446,0.9028896958367842,-1.3190301127654482
Case081,-0.6093960240747162,-1.8938659110441065,1.633416037736564,-1.21121220153617,-0.9742774157881346,0.20719353191335912,-0.3827221572351237,1.7676827236690433,1.1711227075703086,-1.0760649270333178,0.3129522986971281,-0.3203526836350116,0.3762827963426475,0.5988361783400907,-0.947209529454154
Case083,-0.16586575271743245,-0.7305973544573566,0.17450348125917384,2.4566695836571224,-1.3867446164167356,4.113703460676531,2.438644896337865,3.4528691953440385,3.182478054517294,2.4471293182932077,-0.6810648638806933,3.9131051163811423,-1.3627172488045205,3.6745557450121855,-0.9978810858654253
