case_id,original_shape_Elongation,original_shape_MajorAxisLength,original_firstorder_10Percentile,original_firstorder_Energy,original_glcm_Idn,original_glcm_SumSquares,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Strength
Case316,-0.5283827946335956,1.3834546045389082,6.853961557089522,9.805540014380322,1.135267502231395,4.776910271307215,5.02270514856482,-1.5607592462424593,7.8054841084439746,-0.3167081325764151,3.0326639663703028,3.601869761533438,-1.3038077819851424,6.2153620895847235,3.6296720865794727
Case317,-1.2917141957636036,0.2061407429870505,0.4955944130106412,-0.10367227291638471,-0.20665538656321575,0.06495995718475929,0.1618032427812107,-0.5282106714787084,0.14085218229099697,-0.25690343720700437,0.31757831232200884,0.08142479918077848,-0.1836330261711324,-0.08099236349684376,0.28054883832317346
Case318,0.5268052436523711,0.8559950017913244,0.33258479252021556,-0.082526391124604,0.34541270137583047,-0.2774163232954823,0.48437270590801756,-0.7696904184839052,-0.032072377762254856,-0.24757567889942486,-0.5174522844814254,0.2242715116197111,-0.49797571060505685,-0.15589253254357036,-0.27431167316833827
Case319,-0.06524816225844518,0.2426883833286177,0.4724733692839969,-0.11864409228999487,-0.5106126564518324,0.5871343836414338,0.061990733351632195,-0.4842561823660695,0.32706940698811127,-0.2911351923002516,1.3683147132287776,0.5422217258126313,0.6885626829047895,0.0022550817517119205,1.128993564532156
Case320,-1.439772447661679,-0.37925947694582246,0.38482722667333363,-0.21845972009715567,-0.27202093512090914,-0.17658021106209965,-0.25087321565388876,-0.665825250394235,0.05004346392889493,-0.23317376986314178,0.7155894820515541,-0.7366654236717097,0.6196103704886755,-0.11251290218889935,0.6114590940626902
Case321,0.0733357410390313,-0.893105921478683,-0.2219124358011721,-0.21330764615110032,-0.8732879818355689,-0.10574179102061297,-0.2601213671423851,-0.3445071837800953,-0.1318695772788633,-0.2579889743502212,0.40985579647579595,-0.21485997227645318,0.15258365663192372,-0.15471916848851608,-0.2116107382839234
Case323,1.6615557741897955,-2.783505349564473,0.2862940280807437,-0.15134638796217537,0.935371845659306,-0.2718285900894245,1.3777989642627937,-0.4485240870115141,-0.013873259179594628,-0.16093370119421477,-0.4388277877457768,-0.19827474087937588,-0.07599944519466698,-0.16986138426526515,0.0063225939901656
Case325,0.5295803629299075,0.46877204638658054,0.1517201628888505,-0.17026948713751502,0.7151034321936536,-0.648793151507095,-0.7583319717764254,0.5455610078331907,-0.5865426993934507,8.0642883722194,-1.9855372816326622,-1.7940492617199004,-0.6692510144027192,-0.2688014119553768,-1.1259737180380753
Case326,-0.1429753759099932,-1.3001524796922717,1.086025670619975,-0.019265469475860407,1.5829440572893505,-0.3383859322064995,1.3085703022643533,-1.0701682498289977,0.23324505957891833,-0.2640214099402869,-0.1755920571930245,0.214313487203267,-0.28154271360695093,-0.10467052925534853,0.4154382133836854
Case327,-0.6735535989011789,0.5092737065958024,0.5408932324978388,-0.043038963035868245,0.3125853737419525,-0.20400467533840444,0.27528608955898476,-1.0230594689922183,0.033581629240980446,-0.2239988892741916,-0.4660213020763664,-0.3324459969028488,-0.5726432139552899,-0.15095141156239678,-0.3847849445271018
Case328,-1.2261771353369315,0.4492390674211272,0.13783293355700882,-0.19693260733607298,0.7609077055694741,-0.2736804969038454,0.9109608324040444,0.05119267378691955,-0.011160857887007655,-0.19883478368766158,0.13233824930000126,-0.27919716037720715,0.45146340260104034,-0.17337797643734362,0.42795977525248174
Case331,0.28382480527996323,0.9983388155393051,-1.2746966784817313,-0.3246503787946073,-1.413462166758572,-0.3887052597398063,-1.1227193276251843,3.0028399722013104,-0.5055160130844288,0.6464170546903814,-0.5337096193619445,-0.950795937603258,0.20321635635698918,-0.23194768460923235,-0.828062823296705
Case334,1.1661225571486629,-0.17268266230271984,0.030041582076524714,-0.0851774042391742,-1.0271000927597207,-0.007133956019709082,-0.2839643389703168,-0.6452553756734026,-0.05222238357955337,-0.270534030383712,0.35725624557978286,0.5526769379807839,-0.47423894032001,-0.09752866763764302,-0.3157239659337182
Case335,0.5344676973754423,0.6943140306846819,0.8058902003885619,-0.13123523429637837,0.27493821270235114,-0.1178754685723771,0.1582092741667136,-0.7441865822925153,0.23876216721018462,-0.28929322098661703,0.853430451643612,-0.21349769461336054,0.14286935892565555,-0.0354836160130111,0.7251885366766526
Case337,-2.00157099261991,0.055004941176172134,-0.7740951259005859,-0.2959901431977362,-0.03452080539902023,-0.4733864330644843,-0.8469372479437037,0.4786654235733068,-0.44836164035341347,-0.08881985108833103,-0.8420588457306538,-0.8551133991048218,0.36374494207207997,-0.240765679185221,-0.6883808982067278
Case341,1.804724755312801,-0.09139625487545035,-0.18223463771019624,-0.08889408478659855,-0.9777016620462115,-0.05863815947008442,-0.3061178141891768,-0.42313882912026557,-0.10190263209507032,-0.25489664347853447,-0.22267922221737954,0.5355127950621883,-0.9173584696146297,-0.09793716992071025,-0.66298565105034
Case342,-0.44888366041352884,-1.2226579535064732,-0.7998856946597201,-0.333009508679698,-0.1045246886652505,-0.5049890738286693,-0.9081132988629775,0.8620463397754128,-0.4653518389520809,-0.08511348071615579,-0.6122106954955989,-1.6420951828411139,1.483091045054253,-0.23598129076187987,-0.3927714899101132
Case345,1.452606605923653,-1.0149422103664627,-1.1768247765239908,-0.1877367627223596,-1.7914091423538616,1.1654508662502578,-0.5289385390365705,0.18121776240705645,-0.07516308406120695,-0.057694609466489445,0.6600102410425365,1.3755194131022048,0.35335422218193513,-0.024901922111164935,0.5181748534904754
Case347,-1.066442938723303,-0.6275936124711028,0.814670039325572,-0.17096388787909583,-1.2533028536230229,0.08406713244852787,-0.3108039933175244,-0.4292800372586475,0.04047165178981509,-0.2835410246266032,1.2359153299927172,-0.4217234916930647,0.7829186476040918,-0.11596489908149336,0.3957933301241084
